Name,Username,Twitter Handle,Numbers of followers,Number of following,Date Created,Tweets
gone_eth,zyfzyf310_eth,@zyfzyf310_eth,172,859,10/11/2020,726
zeinab,zineb72794546,@zineb72794546,93,430,5/14/2021,653
Ngocthaospkt,zakara_vn,@zakara_vn,38,222,1/9/2014,357
Pollaro Yuette,yuette_pollaro,@yuette_pollaro,49,35,11/26/2021,28
youyue.eth,youyouwo1115,@youyouwo1115,174,988,5/5/2020,595
Yen Pham,YenPhamSpace,@YenPhamSpace,56,312,9/18/2021,353
Xuyến Tri,xuyen_tri,@xuyen_tri,50,216,2/17/2021,303
碧连天,xjdwin,@xjdwin,124,703,4/9/2021,358
xiaoshenke,xiaoshenke4,@xiaoshenke4,56,209,6/18/2021,70
Welch Mohamed,WelchMohamed1,@WelchMohamed1,46,167,12/17/2021,162
Warzone,Warzone668,@Warzone668,58,478,1/26/2017,434
wai paing,waipaing433,@waipaing433,56,210,12/28/2021,139
94512,w94512,@w94512,208,670,5/13/2021,474
Via ⚡️🏴‍☠️,viacryptoO,@viacryptoO,59,759,9/17/2012,699
Van Navy,VanNavySEAL,@VanNavySEAL,45,292,9/22/2021,323
Urrey Randolph,UrreyRandolph2,@UrreyRandolph2,431,30,12/3/2021,16
Max® Payne,unveilabs_NG,@unveilabs_NG,76,483,4/11/2020,643
tungexo005,tungexo005,@tungexo005,34,268,11/19/2021,299
Trieu Son Quyen,TrieuSonQuyen6,@TrieuSonQuyen6,507,30,12/3/2021,16
tran trang,trantra14405342,@trantra14405342,32,276,11/19/2021,292
Tran Huu Duc,tranhuuduc244,@tranhuuduc244,206,989,6/12/2021,610
Trang dang,trangdang4296,@trangdang4296,386,463,11/23/2021,157
Toan Lee,ToanLee91970573,@ToanLee91970573,81,241,6/29/2021,138
Truong Thao,TntCrypto168,@TntCrypto168,72,503,9/27/2021,577
"Tim (📜, 🤝)",TimChay2,@TimChay2,36,466,11/19/2021,569
Thura Aung,ThuraAung256123,@ThuraAung256123,35,326,11/20/2020,467
Thu Hien Plus,ThuHienPlus,@ThuHienPlus,56,321,5/9/2021,379
Moon,thnhngu09206569,@thnhngu09206569,89,432,10/16/2021,668
ThienHaHP,ThienHaHP,@ThienHaHP,44,291,9/16/2021,305
thao duyen,thaoduyen23,@thaoduyen23,39,244,11/19/2021,289
thang10bo,thang10bo,@thang10bo,50,502,10/5/2020,615
Sylvia Brady,SylviaB05304419,@SylviaB05304419,125,988,7/16/2020,465
Stephanie Atkinson,Stephan39441801,@Stephan39441801,136,1139,7/11/2020,504
son nguyen,sonnguy84596344,@sonnguy84596344,86,434,11/16/2021,289
Son,Son71994842,@Son71994842,52,275,3/4/2021,307
smotherszuloise,smotherszuloise,@smotherszuloise,71,121,11/25/2021,56
Smithdixa,smithdixa,@smithdixa,51,533,10/5/2020,658
singwin,singwin1,@singwin1,339,1497,6/3/2021,355
Siname,Siname2020,@Siname2020,53,286,8/8/2021,292
Seyifunmi Owoeye,sheyiphunmii,@sheyiphunmii,173,196,7/13/2019,397
Shabir Ali,ShabirA94103336,@ShabirA94103336,33,541,9/4/2020,639
Scarlett J,Scarlettx228,@Scarlettx228,51,319,11/17/2021,343
Saurabh Kumar 🔶,Saurabhh37,@Saurabhh37,70,313,3/2/2021,64
Sam Flynn,SAMFLYNN99,@SAMFLYNN99,129,271,9/12/2021,273
Sako Shapasan,sako_shahpasand,@sako_shahpasand,38,226,11/30/2021,267
ronalmino,ronalmino20,@ronalmino20,55,250,8/15/2021,248
River Emma,RiverEmma4,@RiverEmma4,41,39,11/26/2021,31
Rdx Minor sarkar,RdxMinorSarkar,@RdxMinorSarkar,85,514,12/24/2021,642
Raymond,RaymondZED,@RaymondZED,198,606,9/23/2020,601
Rango Amigo,rango_amigo2022,@rango_amigo2022,48,247,11/22/2021,274
Tran Quoc Hoan,quochoancg261,@quochoancg261,209,947,6/12/2021,602
Quansma,Quansma1,@Quansma1,57,391,11/18/2020,442
الحر اليماني,QNAKZ9dhUyDquqP,@QNAKZ9dhUyDquqP,33,586,3/19/2021,666
Phuongthu12a,phuongthu12a,@phuongthu12a,51,542,10/4/2020,723
phuongnam24,phuongnam242,@phuongnam242,123,204,12/4/2021,78
Phi Tến,PhiTn9,@PhiTn9,123,582,10/18/2021,691
Min Min,pepiunhappy,@pepiunhappy,449,756,7/19/2016,501
pangxzl.eth,penghaiyun,@penghaiyun,189,465,4/25/2021,357
Overlord,Overlor365,@Overlor365,56,242,8/21/2021,334
"Oralia (⏳, ⏳)(🐶,🐶) (⏱,💰)(🧙‍♂️,🔑)",OraliaYorty,@OraliaYorty,38,262,8/2/2021,215
Hoang,nugoha,@nugoha,267,696,9/28/2021,438
nhungbg,nhungbg1,@nhungbg1,419,699,9/18/2021,215
Alice,nhNguyn23182041,@nhNguyn23182041,121,860,1/31/2021,460
Nhanhubt201,nhanhubt201,@nhanhubt201,326,676,6/13/2021,342
Nguyễn Thảo Vi,NguynTh38278055,@NguynTh38278055,87,163,10/21/2021,88
Nguyen Thu Sinh,NguyenThuSinh3,@NguyenThuSinh3,471,38,8/28/2021,18
nguyen thi phuong,nguyent68987922,@nguyent68987922,60,130,10/21/2021,72
Nguyen Minh An,NguyenM26425109,@NguyenM26425109,102,166,10/19/2021,128
Nguyen hoa,Nguyenh67731172,@Nguyenh67731172,75,139,10/20/2021,106
nguyen bich thuy,nguyenb97944438,@nguyenb97944438,118,176,10/21/2021,72
Nguyen bao an,Nguyenb53289308,@Nguyenb53289308,97,162,10/19/2021,110
Ngô Minh Tiến,NgMinhT89289819,@NgMinhT89289819,162,1000,7/4/2021,594
shelena neng,NengShelena,@NengShelena,43,438,7/11/2021,402
拿铁大王,myway198407,@myway198407,326,958,6/23/2016,467
MyNft.eth,MyNft6,@MyNft6,70,461,10/6/2021,649
Mrtokener,mrtokener98,@mrtokener98,145,387,8/12/2021,476
Mohamed Ali,Mohamed71916706,@Mohamed71916706,102,653,3/25/2019,344
minhson9495,minhson9495,@minhson9495,57,489,10/5/2020,595
Anh Minh,Minh201Anh,@Minh201Anh,62,418,11/18/2020,482
Milagros Davenport,MilagrosDaven20,@MilagrosDaven20,60,150,12/31/2021,94
Michiel Huisman,MichielHuisma12,@MichielHuisma12,32,199,5/9/2021,234
Membershrimps,Membershrimps1,@Membershrimps1,38,334,10/19/2020,25
.,MelissaAugust,@MelissaAugust,56,51,1/7/2013,39
Mehedi,Mehedi16306877,@Mehedi16306877,57,275,7/8/2021,282
Mehdi🤠,Me4tiJ,@Me4tiJ,48,90,6/8/2019,88
marilynbuchanan,marilyn53496611,@marilyn53496611,40,178,12/17/2021,161
Lưu Thượng Văn,LuuThuongVan,@LuuThuongVan,144,495,9/16/2021,737
longkhanh,longkhanh213,@longkhanh213,73,350,8/1/2018,297
Luong Tran,LngTrn10,@LngTrn10,991,1490,12/12/2018,641
Lisette Herrera,Lisette44655826,@Lisette44655826,168,1199,7/16/2020,505
Linh lemai,LinhLemai,@LinhLemai,43,183,11/22/2021,198
Lida Sarita,LidaSarita,@LidaSarita,38,97,11/29/2021,49
lhhmhhmshd.nft,lhhhm520,@lhhhm520,77,528,4/15/2021,632
lgh6661,lgh6661,@lgh6661,345,670,4/3/2021,278
lethianh,lethianh142,@lethianh142,61,323,11/19/2021,274
Elaine Leona,leona_elaine,@leona_elaine,57,110,11/28/2021,54
leepal,leepal1102,@leepal1102,110,664,7/18/2021,680
Latesha Catterall,LateshaCattera1,@LateshaCattera1,81,342,11/11/2021,210
赖晓静,laixiaojing1989,@laixiaojing1989,115,295,11/11/2021,207
K Spider,KSpider7,@KSpider7,50,336,11/1/2021,396
kridelpbcreek5p,kridelpbcreek5p,@kridelpbcreek5p,59,473,12/26/2021,510
Çřýptø Ĝîřl,KoLay256,@KoLay256,45,400,7/28/2020,457
Kiếm tiền 321.net,kiemtien321,@kiemtien321,155,263,3/16/2014,447
Khánh Ngọc,KhanhNgocq5,@KhanhNgocq5,116,514,12/1/2021,584
Kaung Htet Aung,KaungHt13092945,@KaungHt13092945,48,509,9/29/2021,719
Karan🔶,Karanarjun23,@Karanarjun23,66,302,3/30/2021,61
Johnette Schmid,JohnetteSchmid,@JohnetteSchmid,35,92,11/29/2021,51
Tran John,johnbm91,@johnbm91,32,463,11/28/2021,488
Juan Gabriel C.A.,JgcaJuan,@JgcaJuan,85,682,7/8/2013,182
jianai,jainai20151013,@jainai20151013,90,491,11/20/2021,287
刘如意,jackliu123654,@jackliu123654,142,261,6/3/2021,67
Hwa Ruthning,HwaRuthning,@HwaRuthning,89,366,11/11/2021,220
thaomem.bit,HVTha0,@HVTha0,46,272,11/3/2021,183
Hương Ly,huongly550,@huongly550,157,347,12/1/2012,133
Hossein,Hossein89591320,@Hossein89591320,88,610,4/10/2021,506
Hoàng Viễn Ðông,HongVinng3,@HongVinng3,191,940,7/4/2021,628
Hoa Vu,HoaVu99,@HoaVu99,45,321,11/15/2021,385
Thu Hoang,hoangthuho56,@hoangthuho56,42,158,12/20/2021,154
hoa ngo,hoango79122918,@hoango79122918,91,380,11/16/2021,248
Hoang Kim,HoangKim29,@HoangKim29,47,413,11/15/2021,454
hoangvinh88.bit,HoangKhanhvinh1,@HoangKhanhvinh1,32,353,7/7/2021,594
Hoang Cong Chat,HoangCongChat1,@HoangCongChat1,198,1087,7/19/2021,638
Hoàng Trần,Hoang_tv1410,@Hoang_tv1410,53,469,12/10/2021,534
Hoai Son,hoaison110294,@hoaison110294,106,233,10/11/2021,248
hjpk222,hjpk222,@hjpk222,202,384,5/2/2021,213
Hiền Digital,hien_mmo,@hien_mmo,183,1244,6/9/2021,685
Hemura,Hemura19,@Hemura19,52,359,8/21/2021,523
Zang Hồ,HaZangHo,@HaZangHo,40,290,12/1/2021,314
havathang,havathang,@havathang,483,827,9/18/2021,261
Harvey Dane,HarveyDane3,@HarveyDane3,35,306,10/15/2021,384
Hari Vishwakarma,Harivishwa1991,@Harivishwa1991,56,378,4/10/2015,404
Han Tran,HanTran2021,@HanTran2021,43,397,8/8/2021,395
Gia Hân,GiaHand610,@GiaHand610,128,559,11/15/2021,636
Floatmachiatto,floatmachiatto,@floatmachiatto,42,209,10/11/2021,139
Fineizer,fineizer,@fineizer,54,302,9/15/2021,335
Sức Khỏe Và Sắc Đẹp,Evanstor6,@Evanstor6,51,175,11/28/2021,214
EsiCrypto,EsiCrypto2,@EsiCrypto2,53,425,6/14/2019,664
Bảo Ngậu,emlabaongau59,@emlabaongau59,41,395,12/5/2021,447
eaintlay,eaintlay181977,@eaintlay181977,115,460,7/20/2020,545
Tran Duy Hung,duyhung174,@duyhung174,187,1125,6/12/2021,714
Ellsworth Dutton,DuttonEllsworth,@DuttonEllsworth,41,92,12/1/2021,49
Tông Huynh,duongthaitong,@duongthaitong,54,286,5/21/2021,318
Le Duc Tho,ductho227,@ductho227,152,907,6/12/2021,549
Jemirin,ducminh2095,@ducminh2095,51,256,12/17/2016,220
si-mon,Drsimon6,@Drsimon6,115,370,4/9/2021,677
Phùng Quốc Toản,drfuture2604,@drfuture2604,77,90,5/17/2017,681
doubi ajami,doubi7,@doubi7,246,54,1/7/2010,363
Elvira Dorthy,DorthyElvira,@DorthyElvira,58,97,12/1/2021,49
Don ki ho,Donkiho1,@Donkiho1,54,462,11/20/2020,584
Nguyen Dong Chi,dongchi288,@dongchi288,180,978,6/12/2021,554
Do Duc Duc,doducduc297,@doducduc297,233,1115,6/12/2021,699
Doan Quang Nhan,DoanQuangNhan6,@DoanQuangNhan6,500,31,12/1/2021,17
dish - Pega🦄,dishgogo,@dishgogo,166,420,12/5/2021,341
Dinh Quan,dinhquan039530,@dinhquan039530,33,542,11/28/2021,693
Dinh Manh Thang,DinhManhThang4,@DinhManhThang4,101,34,12/30/2021,22
Dinh Doan Tu,DinhDoanTu4,@DinhDoanTu4,300,30,11/27/2021,18
Lord.virulent Dinci,DinciLord,@DinciLord,149,459,9/12/2021,581
diliuge,diliuge1,@diliuge1,108,239,12/21/2021,195
UCHIHA,DeFiUchiha,@DeFiUchiha,139,140,6/17/2018,534
Deanne Horrocks,DeanneHorrocks,@DeanneHorrocks,94,383,11/11/2021,222
Hoang Dao Thuy,daothuy222,@daothuy222,183,996,6/12/2021,549
Dangnguyen32660,dangnguyen3266,@dangnguyen3266,189,313,12/10/2021,135
Đặng Quỳnh,dang53quynh,@dang53quynh,43,389,12/4/2021,435
Danelle Lucy,DanelleLucy,@DanelleLucy,101,368,11/14/2021,236
daleoiageboi19i,daleoiageboi19i,@daleoiageboi19i,45,153,12/26/2021,170
cryptonipesh,cryptonipesh,@cryptonipesh,79,183,6/22/2021,153
SR. Pramana,Cryptolovers101,@Cryptolovers101,136,612,5/3/2014,732
CriptoWizard,CriptoWizard,@CriptoWizard,112,172,12/9/2019,78
Nguyen Co Thach,cothach275,@cothach275,180,961,6/11/2021,555
Coin Mint,CNgmS1,@CNgmS1,41,338,8/28/2021,358
"cloudycn (.\\,.\\) (🔺,🔺)",cloudycn,@cloudycn,50,1191,9/1/2008,112
CiZoe,CiZoe332,@CiZoe332,50,254,12/28/2021,237
Nguyen Chi Thanh,chithanh189,@chithanh189,173,1130,6/11/2021,539
Ching Cady,ChingCady,@ChingCady,99,347,11/11/2021,209
Cát Tường,CatTuongq6,@CatTuongq6,138,564,11/3/2021,635
buithu,buithu14,@buithu14,249,489,7/26/2017,177
bui thanh nhan,buithan08641414,@buithan08641414,68,143,10/22/2021,69
bragasdmmeritta,bragasdmmeritta,@bragasdmmeritta,53,171,12/26/2021,185
Bảo Vy,BoVyq4,@BoVyq4,146,621,10/30/2021,687
boboli.eth,boboli_eth,@boboli_eth,250,637,3/31/2021,530
blandosqgustvmj,blandosqgustvmj,@blandosqgustvmj,67,576,12/26/2021,738
Hà Anh,batung99bn,@batung99bn,254,537,9/21/2021,477
batsonhqcarmelia,batsonhqcarmel1,@batsonhqcarmel1,52,103,11/25/2021,56
rolf bardney,BardneyRolf,@BardneyRolf,41,217,12/13/2021,232
ngocbao,baongoc10122018,@baongoc10122018,1699,1144,10/7/2021,561
Bao Linh,BaoLinh2021,@BaoLinh2021,54,151,8/10/2021,107
Ba Gia Kien,BaGiaKien4,@BaGiaKien4,34,30,11/26/2021,19
Hân Hân,bacninh1995,@bacninh1995,220,444,9/21/2021,356
John Watson,anjied11,@anjied11,254,1009,8/30/2021,673
AnhSon,AnhSon94648160,@AnhSon94648160,55,416,5/8/2021,501
angusxketzlerbod,angusxketzlerb1,@angusxketzlerb1,53,445,12/26/2021,502
Angel Ann,AngelAn97017607,@AngelAn97017607,131,1038,7/11/2020,467
RealAmp | thaitalent,ampdutchii2,@ampdutchii2,1911,376,9/23/2016,691
Alita Skidmore,AlitaSkidmore,@AlitaSkidmore,97,369,11/11/2021,255
Ali-No-1,Ali85759211,@Ali85759211,258,717,7/13/2021,542
Wessler Alane,alane_wessler,@alane_wessler,271,32,8/31/2021,14
Airdropgia,AirdropGia,@AirdropGia,58,402,11/7/2020,395
Ahmedoka,Ahmedok07634779,@Ahmedok07634779,35,446,8/18/2020,455
Aerts Chang,AertsChang,@AertsChang,500,20,5/17/2021,8
Abdel Teddy,abdeltlteddy,@abdeltlteddy,34,248,12/31/2021,305